Marca de Tiempo, Uso de Memoria (%)
09: 30: 00,45.2
09: 30: 01,45.3
09: 30: 02,45.3
09: 30: 03,45.2
09: 30: 04,45.2
09: 30: 05,45.2
09: 30: 06,45.2
09: 30: 07,45.1
09: 30: 08,45.1
09: 30: 09,45.1
09: 30: 10,45.1
09: 30: 11,45.0
09: 30: 12,45.0
09: 30: 13,45.2
09: 30: 14,45.1
09: 30: 15,45.2
09: 30: 16,45.1
09: 30: 17,45.1
09: 30: 18,45.1
09: 30: 19,45.1
09: 30: 20,45.1
09: 30: 21,45.1
09: 30: 22,45.1
09: 30: 23,45.1
09: 30: 24,45.1
09: 30: 25,45.0
09: 30: 26,45.1
09: 30: 27,45.1
09: 30: 28,45.1
09: 30: 29,45.1
09: 30: 30,45.1
09: 30: 31,45.1
09: 30: 32,45.0
09: 30: 33,45.0
09: 30: 34,45.0
09: 30: 35,45.0
09: 30: 36,45.0
09: 30: 37,44.9
09: 30: 38,44.9
09: 30: 39,44.9
09: 30: 40,44.9
09: 30: 41,44.9
09: 30: 42,44.9
09: 30: 43,44.9
09: 30: 44,44.9
09: 30: 45,44.9
09: 30: 46,44.9
09: 30: 47,44.9
09: 30: 48,44.9
09: 30: 49,44.9
09: 30: 50,44.9
09: 30: 51,44.9
09: 30: 52,44.9
09: 30: 53,44.9
09: 30: 54,44.9
09: 30: 55,44.9
09: 30: 56,44.9
09: 30: 57,44.9
09: 30: 58,44.9
09: 30: 59,44.9
09: 31: 00,44.9
09: 31: 01,44.9
09: 31: 02,45.0
09: 31: 03,45.0
09: 31: 05,45.0
